ID,Latitude,Longitude,Easting,Northing,Zone,Block,Subzone,Village,SamplingTime,LU,Lu,Geo,Geogy,Taxo,Taxom,Sand,Clay,Silt,Textural Class,Texture,EC,pH,Rain,Temp,Hshde,TPI,TRI,Alt,Slope,LS Factor,Aspect,TWI,NvOp,PvOp,B11,B12,B2,B3,B4,B5,SOCI*B5,SOCI*B4,SOCI*B12,SOCI*BI2,B5*B3,B5*BI2,B4*B3,B5*B6,B6,B7,B8,B8A,B9,BI2,BR,BR2,BSI,CI,CI*BSI,CI*B4,CI*B3,CLAYI,EVI2,GNDVI,HBSI,HI,IPVI,MSAVI2,NDMI,NDSI,NDVI,NDWI,OSAVI,PVI,RVI,SAVI,SOCI,composite_method,date_range,SOC
635,15.25929991,37.81739123,373007.41,1687351,Gash Barka,2,Mogolo,Gifate,1,CG,0.65,Intrusives_5,1,Leptosols,1,48.4,21.3,30.3,Loam,3,0.3,8.34,434.47638,27.30829,171,-0.35809,4.39022,777.81549,5.87395,0.74914,111.27516,6.23584,88.7872,86.12661,0.463065147,0.38073084,0.129366062,0.192614391,0.26843064,0.302344281,0.756486696,0.671632377,0.95261539,0.823394175,0.05823586,0.099497006,0.051703604,0.094804358,0.313564252,0.331142941,0.327778474,0.342743807,0.342053641,0.329085126,-0.074737714,0.097576083,0.173565851,0.164444347,0.028541923,0.044141901,0.031674348,1.216253317,0.075237667,0.259734695,0.112762591,3.397415058,0.549770988,0.075102225,-0.171066277,0.412473991,0.099541976,-0.259734695,0.078480717,0.041965255,1.221091873,0.08120873,2.502070466,Weighted_Average,2023-01-01 to 2023-12-31,0.29
638,15.28637867,37.81680492,372960.74,1690347,Gash Barka,2,Mogolo,Gifate,1,CG,0.65,AlluvElluvSedts_01,1,Leptosols,1,43.6,24.7,31.7,Loam,3,0.12,8.63,419.09915,27.92034,181,-0.14197,1.53506,715.27441,1.91015,0.26684,30.98521,7.35919,89.80583,87.07173,0.441343902,0.349712539,0.139836591,0.202502938,0.274413433,0.306913562,0.772325207,0.690541044,0.880025657,0.867266097,0.062150898,0.105775313,0.055569526,0.099173055,0.323130246,0.341583468,0.348204087,0.353573393,0.36025089,0.34464203,-0.002161364,0.115834167,0.122360525,0.150782191,0.018449788,0.041376659,0.030533837,1.262019097,0.091925937,0.264571073,0.061691344,3.295027489,0.559258414,0.091983969,-0.117965997,0.370959286,0.118516827,-0.264571073,0.094286994,0.052177871,1.26890321,0.098596341,2.516425804,Weighted_Average,2023-01-01 to 2023-12-31,0.24
632,15.29126873,37.81676408,372959.3,1690888,Gash Barka,2,Mogolo,Gifate,1,CG,0.65,AlluvElluvSedts_01,1,Leptosols,1,70.7,9.8,19.5,sandy Loam,2,0.08,8.53,415.48416,28.01099,181,-0.28253,1.71068,711.98206,1.9798,0.27533,38.74671,7.32337,89.59083,87.66093,0.476039965,0.403651898,0.130840468,0.200368768,0.282598249,0.316189264,0.730616902,0.652998317,0.932716359,0.818706426,0.063354453,0.112029584,0.056623863,0.107250594,0.339197455,0.362198045,0.362028004,0.375743861,0.382113433,0.35431179,-0.054362005,0.082287981,0.164005276,0.170258997,0.027923374,0.048114894,0.034114585,1.179332904,0.0973278,0.287446947,0.101334028,3.365352809,0.561609153,0.097676796,-0.136041426,0.407551208,0.123218306,-0.287446947,0.098716335,0.056165318,1.281069523,0.104090425,2.310694843,Weighted_Average,2023-01-01 to 2023-12-31,0.17
187,15.47879229,37.72475773,363202,1711690,Gash Barka,1,Dghe,Mogoraib,1,RF,0.92,AlluvElluvSedts_01,1,Fluvisols,2,23,25,52,Silty Loam,3,0.83,8.64,350.14999,28.89875,179,0.13275,1.2088,597.78815,1.60917,0.23014,195.54736,7.53065,89.02923,89.16012,0.41913408,0.393020593,0.115808754,0.171754938,0.235687198,0.263837549,0.754801519,0.674267388,1.124375745,0.810063788,0.045315402,0.074706719,0.04048044,0.070638424,0.267734537,0.281076691,0.274416516,0.288722021,0.30846202,0.283154232,-0.177700752,0.032153342,0.234051215,0.156911263,0.036725272,0.036981976,0.026950284,1.06644305,0.052619474,0.230094456,0.182774989,3.285491349,0.537962199,0.051739337,-0.208661869,0.418655846,0.075924399,-0.230094456,0.057796005,0.027385763,1.164325081,0.057512883,2.860857077,Weighted_Average,2023-01-01 to 2023-12-31,0.39
193,15.49308747,37.7429401,365162,1713260,Gash Barka,2,Dghe,Mogoraib,1,CG,0.65,AlluvElluvSedts_01,1,Fluvisols,2,15,28,57,Silty Clay Loam,4,0.28,8.71,346.72751,28.89143,187,-0.12347,2.58965,595.72369,3.48753,0.45902,321.20081,6.75717,89.22758,88.99788,0.397518583,0.373782793,0.110307761,0.160992701,0.221688908,0.251579045,0.777553683,0.685172435,1.155247995,0.828928362,0.04050239,0.067473858,0.035690296,0.064554558,0.256597516,0.268277069,0.262296372,0.275690096,0.278285681,0.268201425,-0.175271298,0.03077369,0.230217056,0.15860759,0.036514172,0.035161543,0.025534664,1.063501557,0.056576851,0.239325033,0.178724931,3.395039158,0.541951135,0.055273861,-0.204939596,0.423493471,0.08390227,-0.239325033,0.063056509,0.028713813,1.183173187,0.061902548,3.090693356,Weighted_Average,2023-01-01 to 2023-12-31,0.18
196,15.49923687,37.76268368,367284,1713928,Gash Barka,2,Dghe,Mogoraib,1,CG,0.65,AlluvElluvSedts_01,1,Fluvisols,2,39,7,54,Silty Loam,3,0.42,8.26,343.74304,28.88542,183,-0.1579,1.24436,591.94104,1.45898,0.21183,343.15573,7.62863,89.62425,88.81866,0.400092718,0.381705952,0.110398763,0.163562196,0.226866893,0.25485178,0.758224511,0.674965029,1.135635815,0.811838467,0.041684117,0.069541995,0.037106847,0.066100534,0.259368538,0.271640681,0.265889869,0.27832889,0.281140864,0.272872316,-0.178840072,0.023518543,0.235854706,0.162141343,0.038241799,0.036784503,0.026520194,1.048169974,0.05388811,0.238274957,0.18336311,3.381512726,0.539596591,0.052769024,-0.201511048,0.419637114,0.079193181,-0.238274957,0.059781802,0.027593411,1.172008243,0.058961536,2.975158781,Weighted_Average,2023-01-01 to 2023-12-31,0.33
184,15.51616559,37.70876427,361511,1715835,Gash Barka,1,Dghe,Mogoraib,1,RF,0.92,AlluvElluvSedts_01,1,Fluvisols,2,40,6,54,Silty Loam,3,0.42,8.93,336.20001,29.02746,181,-0.04138,0.65707,569.60309,0.86783,0.13973,243.20366,8.14813,89.64934,89.40433,0.449719871,0.416503161,0.134571075,0.201300732,0.266463508,0.297350742,0.745997984,0.66850763,1.044929353,0.826629277,0.059856922,0.097974077,0.053639299,0.090792802,0.30533908,0.324017248,0.324965309,0.34037429,0.338555693,0.329489937,-0.123454814,0.038346602,0.19556209,0.139306879,0.027243144,0.0371202,0.028042577,1.079751398,0.07444956,0.234984908,0.146905776,2.953037953,0.549458024,0.074256205,-0.161039046,0.381584144,0.098916048,-0.234984908,0.077854083,0.04136702,1.219549017,0.080401672,2.50881494,Weighted_Average,2023-01-01 to 2023-12-31,0.27
266,15.51861324,37.84209154,375814,1716024,Gash Barka,2,Akordat,Tekreret,1,CG,0.65,Intrusives_5,1,Leptosols,1,31,19.5,49.5,Loam,3,0.13,8.96,338.77499,28.95229,184,0,1.42532,605.6889,1.84622,0.25904,309.72433,7.39323,89.40277,87.31671,0.492519015,0.433663414,0.1449165,0.212904701,0.295051668,0.332212921,0.766392122,0.680663694,1.000431359,0.84859422,0.070729693,0.122203059,0.062817887,0.115111365,0.346498758,0.368530427,0.371802182,0.388243818,0.389846954,0.367845593,-0.076801831,0.063546445,0.170218928,0.161720519,0.027527893,0.047715909,0.034431059,1.135717238,0.092251487,0.27175579,0.111622889,3.4165066,0.557546727,0.092996675,-0.139666635,0.39637782,0.115093455,-0.27175579,0.092822345,0.054270808,1.260125672,0.098663402,2.306930506,Weighted_Average,2023-01-01 to 2023-12-31,0.22
267,15.52649011,37.83592223,375157,1716899,Gash Barka,2,Akordat,Tekreret,1,CG,0.65,Intrusives_5,1,Leptosols,1,32,24.7,53.3,Silty Loam,3,0.23,8.45,332.10861,28.98271,185,0.25812,2.97793,591.82751,3.90749,0.51015,0.45793,6.64347,88.81272,88.48782,0.409044976,0.370472225,0.139374949,0.202635765,0.271411752,0.303989723,0.770369135,0.687810215,0.938848737,0.823745461,0.06159919,0.098812517,0.054997728,0.09413175,0.309654384,0.322311776,0.310792898,0.327362794,0.326277315,0.325052164,-0.087600737,0.049482873,0.17555589,0.145082476,0.025470083,0.039377089,0.029398899,1.104117793,0.050175218,0.210656594,0.120143697,3.17436296,0.533820707,0.05012028,-0.136491953,0.337445986,0.067641415,-0.210656594,0.053059687,0.027846676,1.145097424,0.05458461,2.534194668,Weighted_Average,2023-01-01 to 2023-12-31,0.26
268,15.53212803,37.84231448,375846,1717519,Gash Barka,2,Akordat,Tekreret,1,CG,0.65,AlluvElluvSedts_01,1,Leptosols,1,24.9,19.4,55.7,Silty Loam,3,0.5,8.52,328.51251,28.99847,179,0.16461,1.92571,594.97522,2.50142,0.3389,198.87262,7.08951,88.49805,88.47729,0.450436217,0.413732731,0.151774151,0.231919254,0.323413286,0.344059943,0.6962052,0.654426696,0.837188068,0.781755906,0.079794125,0.132923612,0.075005768,0.119795792,0.348182909,0.365427299,0.374342387,0.369081809,0.370634577,0.386338528,-0.04998298,0.042472582,0.167051163,0.164755396,0.027522581,0.053284084,0.038209949,1.088713035,0.059205173,0.234920246,0.102012849,3.283209567,0.536494939,0.060329852,-0.092259703,0.32023919,0.072989878,-0.234920246,0.059374835,0.036012313,1.157473745,0.063780664,2.023499726,Weighted_Average,2023-01-01 to 2023-12-31,0.24
